college_name,location,category,contact_number,email,website
IIT Jammu,Jammu,Engineering,0191-2479330,contact@iitjammu.ac.in,https://iitjammu.ac.in/
IIM Jammu,Jammu,Management,0191-2430021,contact@iimjammu.ac.in,https://www.iimjammu.ac.in/
AIIMS Jammu,Jammu,Medical,0191-2439333,contact@aiimsjammu.edu.in,https://www.aiimsjammu.edu.in/
NIT Srinagar,Srinagar,Engineering,0194-2303001,contact@nitkashmir.ac.in,https://www.nitsri.ac.in/
SKIMS,Srinagar,Medical,0194-2463333,contact@skims.ac.in,https://www.skims.ac.in/
GMC Jammu,Jammu,Medical,0191-2472225,gmcjammu@gmail.com,https://www.gmcjammu.in/
GMC Srinagar,Srinagar,Medical,0194-2311674,gmcsgr@gmail.com,https://www.gmcsrinagar.ac.in/
SMVDU Katra,Katra,Engineering & Management,01991-285181,smvdu@smvdu.ac.in,https://www.smvdu.ac.in/
University of Jammu,Jammu,University,0191-2430011,info@ju.ac.in,https://www.jammuuniversity.ac.in/
University of Kashmir,Srinagar,University,0194-2272047,info@kashmiruniversity.ac.in,https://www.kashmiruniversity.ac.in/
Central University of Jammu,Jammu,University,0191-2470400,contact@cujammu.ac.in,https://www.cujammu.ac.in/
Central University of Kashmir,Srinagar,University,0194-2412442,contact@cukashmir.ac.in,https://www.cukashmir.ac.in/
IUST Awantipora,Awantipora,Engineering & Management,01933-246621,info@iust.ac.in,https://www.iust.ac.in/
BGSBU Rajouri,Rajouri,University,01962-277019,info@bgsbu.ac.in,https://www.bgsbu.ac.in/
GCET Jammu,Jammu,Engineering,0191-2470300,principal@gcetjammu.ac.in,https://www.gcetjammu.ac.in/
MIET Jammu,Jammu,Engineering,0191-2433666,info@mietjammu.in,https://www.mietjammu.in/
YCET Jammu,Jammu,Engineering,0191-2472020,info@ycetjammu.in,https://www.ycetjammu.in/
GDC Anantnag,Anantnag,Govt Degree College,01932-222100,principal@gdc-anantnag.edu.in,https://www.gdcanantnag.ac.in/
GDC Rajouri,Rajouri,Govt Degree College,01962-231225,principal@gdcrajouri.ac.in,https://www.gdcrajouri.ac.in/
GDC Kathua,Kathua,Govt Degree College,01922-235000,principal@gdckathua.ac.in,https://www.gdckathua.ac.in/
GDC Baramulla,Baramulla,Govt Degree College,01952-223311,principal@gdcbaramulla.ac.in,https://www.gdcbaramulla.ac.in/
GDC Ganderbal,Ganderbal,Govt Degree College,0194-2433333,principal@gdcganderbal.ac.in,https://www.gdcganderbal.ac.in/
Delhi Public Junior College,Jammu,Junior College,0191-2456789,dpjcjammu@gmail.com,https://www.dpjcjammu.in/
St. Joseph's Higher Secondary School,Srinagar,Junior College,0194-2305678,info@stjosephsksr.ac.in,https://www.stjosephsksr.ac.in/
