college_name,latitude,longitude
IIT Jammu,32.7333,74.8500
IIM Jammu,32.7266,74.8570
AIIMS Jammu,32.7338,74.8502
NIT Srinagar,34.1265,74.8370
SKIMS,34.1173,74.8295
GMC Jammu,32.7266,74.8570
GMC Srinagar,34.0837,74.7973
SMVDU Katra,32.9908,74.9381
University of Jammu,32.7266,74.8570
University of Kashmir,34.1300,74.8370
Central University of Jammu,32.7266,74.8570
Central University of Kashmir,34.1300,74.8370
IUST Awantipora,33.9196,75.0169
BGSBU Rajouri,33.3768,74.3127
GCET Jammu,32.7266,74.8570
MIET Jammu,32.7266,74.8570
YCET Jammu,32.7266,74.8570
GDC Anantnag,33.7307,75.1542
GDC Rajouri,33.3768,74.3127
GDC Kathua,32.3707,75.5246
GDC Baramulla,34.1989,74.3645
GDC Ganderbal,34.2161,74.7810
Delhi Public Junior College,32.7266,74.8570
St. Joseph's Higher Secondary School,34.0837,74.7973
Amar Singh College,34.0837,74.7973
S.P. College,34.0837,74.7973
IASE Srinagar,34.0837,74.7973
Govt Women College M.A. Road,34.0837,74.7973
GDC Pulwama,33.8740,74.8997
GDC Kulgam,33.6446,75.0180
GDC Shopian,33.7055,74.8317
GDC Bandipora,34.4200,74.6431
GDC Kupwara,34.5300,74.2600
GDC Srinagar,34.0837,74.7973
GDC Jammu,32.7266,74.8570
GDC Udhampur,32.9272,75.1336
GDC Doda,33.1330,75.5667
GDC Kishtwar,33.3117,75.7667
GDC Ramban,33.2322,75.0179
GDC Reasi,33.0800,74.8300
GDC Poonch,33.7700,74.1000
GDC Samba,32.5700,75.1200
